REAL 	71.720,10
	Cart. 	Var. 	Nosso número 	Nome pagador 	Nro beneficiário 	Valor 	Vencimento 	Situação
	17 	019 	27697460000000194-5 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000195-3 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000196-1 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000198-8 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000199-6 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000202-X 	Titulo sem existenci 		153,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000204-6 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000205-4 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000206-2 	Titulo sem existenci 		393,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000209-7 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000210-0 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000211-9 	Titulo sem existenci 		296,00 	01/01/0001 	Liquidado
	17 	019 	27697460000000212-7 	Titulo sem existenci 		248,60 	01/01/0001 	Liquidado
	17 	019 	27697460000000213-5 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000214-3 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000215-1 	Titulo sem existenci 		153,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000216-X 	Titulo sem existenci 		43,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000217-8 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000219-4 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000220-8 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000221-6 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000223-2 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000224-0 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000225-9 	Titulo sem existenci 		153,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000226-7 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000227-5 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000229-1 	Titulo sem existenci 		137,75 	01/01/0001 	Liquidado
	17 	019 	27697460000000230-5 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000231-3 	Titulo sem existenci 		123,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000232-1 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000233-X 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000234-8 	Titulo sem existenci 		263,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000235-6 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000236-4 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000237-2 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000238-0 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000239-9 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000240-2 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000241-0 	Titulo sem existenci 		393,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000247-X 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000249-6 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000250-X 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000251-8 	Titulo sem existenci 		353,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000252-6 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000253-4 	Titulo sem existenci 		588,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000254-2 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000255-0 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000256-9 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000257-7 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000258-5 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000260-7 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000261-5 	Titulo sem existenci 		198,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000263-1 	Titulo sem existenci 		1.053,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000264-X 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000265-8 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000266-6 	Titulo sem existenci 		123,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000268-2 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000269-0 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000271-2 	Titulo sem existenci 		43,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000272-0 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000273-9 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000274-7 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000275-5 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000277-1 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000278-X 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000279-8 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000281-X 	Titulo sem existenci 		563,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000282-8 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000284-4 	Titulo sem existenci 		1.503,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000285-2 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000288-7 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000289-5 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000290-9 	Titulo sem existenci 		203,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000291-7 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000292-5 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000293-3 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000295-X 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000296-8 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000297-6 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000298-4 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000299-2 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000300-X 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000301-8 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000303-4 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000304-2 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000305-0 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000307-7 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000309-3 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000310-7 	Titulo sem existenci 		203,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000311-5 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000312-3 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000314-X 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000315-8 	Titulo sem existenci 		163,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000316-6 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000317-4 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000318-2 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000319-0 	Titulo sem existenci 		403,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000320-4 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000322-0 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000323-9 	Titulo sem existenci 		143,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000325-5 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000326-3 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000327-1 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000329-8 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000332-8 	Titulo sem existenci 		163,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000333-6 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000334-4 	Titulo sem existenci 		203,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000336-0 	Titulo sem existenci 		203,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000337-9 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000340-9 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000342-5 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000343-3 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000345-X 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000346-8 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000347-6 	Titulo sem existenci 		153,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000350-6 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000351-4 	Titulo sem existenci 		203,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000352-2 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000353-0 	Titulo sem existenci 		203,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000354-9 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000355-7 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000356-5 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000357-3 	Titulo sem existenci 		203,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000362-X 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000364-6 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000365-4 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000367-0 	Titulo sem existenci 		213,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000368-9 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000370-0 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000372-7 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000373-5 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000374-3 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000375-1 	Titulo sem existenci 		323,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000376-X 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000377-8 	Titulo sem existenci 		603,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000379-4 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000380-8 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000381-6 	Titulo sem existenci 		163,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000382-4 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000383-2 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000384-0 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000385-9 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000386-7 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000387-5 	Titulo sem existenci 		43,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000388-3 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000389-1 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000390-5 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000393-X 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000394-8 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000395-6 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000396-4 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000397-2 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000398-0 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000399-9 	Titulo sem existenci 		803,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000407-3 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000410-3 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000411-1 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000412-X 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000413-8 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000414-6 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000416-2 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000417-0 	Titulo sem existenci 		153,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000418-9 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000419-7 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000421-9 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000422-7 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000423-5 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000425-1 	Titulo sem existenci 		503,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000427-8 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000428-6 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000429-4 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000430-8 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000431-6 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000433-2 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000434-0 	Titulo sem existenci 		53,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000436-7 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000439-1 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000440-5 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000441-3 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000442-1 	Titulo sem existenci 		100,00 	01/01/0001 	Liquidado
	17 	019 	27697460000000444-8 	Titulo sem existenci 		303,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000445-6 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000446-4 	Titulo sem existenci 		783,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000448-0 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000449-9 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000450-2 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000451-0 	Titulo sem existenci 		303,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000452-9 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000453-7 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000454-5 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000455-3 	Titulo sem existenci 		503,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000457-X 	Titulo sem existenci 		1.203,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000458-8 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000459-6 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000460-X 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000461-8 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000463-4 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000465-0 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000467-7 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000468-5 	Titulo sem existenci 		263,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000469-3 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000470-7 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000471-5 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000473-1 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000474-X 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000476-6 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000477-4 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000478-2 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000479-0 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000481-2 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000482-0 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000483-9 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000485-5 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000486-3 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000487-1 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000488-X 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000489-8 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000490-1 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000491-X 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000493-6 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000494-4 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000496-0 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000497-9 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000498-7 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000499-5 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000500-2 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000501-0 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000502-9 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000504-5 	Titulo sem existenci 		503,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000505-3 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000506-1 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000507-X 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000509-6 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000510-X 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000511-8 	Titulo sem existenci 		483,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000513-4 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000514-2 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000515-0 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000516-9 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000517-7 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000518-5 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000519-3 	Titulo sem existenci 		403,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000520-7 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000522-3 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000523-1 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000524-X 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000527-4 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000528-2 	Titulo sem existenci 		83,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000529-0 	Titulo sem existenci 		103,50 	01/01/0001 	Liquidado
	17 	019 	27697460000000531-2 	Titulo sem existenci 		133,50 	01/01/0001 	Liquidado
